Kanji,Kana,English,In Both,In Tanos,In Current,Category
"果物","くだもの","Fruit",YES,YES,YES,BOTH
"口","くち","mouth, opening",YES,YES,YES,BOTH
"靴","くつ","Shoes",YES,YES,YES,BOTH
"靴下","くつした","Socks",YES,YES,YES,BOTH
"国","くに","Country",YES,YES,YES,BOTH
"曇り","くもり","cloudy weather",YES,YES,YES,BOTH
"曇る","くもる","to become cloudy, to become dim",YES,YES,YES,BOTH
"暗い","くらい","Gloomy",YES,YES,YES,BOTH
"来る","くる","to come",YES,YES,YES,BOTH
"車","くるま","car, vehicle",YES,YES,YES,BOTH
"黒","くろ","Black",YES,YES,YES,BOTH
"黒い","くろい","black",YES,YES,YES,BOTH
"警官","けいかん","policeman",YES,YES,YES,BOTH
"今朝","けさ","this morning",YES,YES,YES,BOTH
"消す","けす","to erase, to turn off power",YES,YES,YES,BOTH
"結構","けっこう","splendid, enough",YES,YES,YES,BOTH
"結婚","けっこん","Marriage",YES,YES,YES,BOTH
"月曜日","げつようび","Monday",YES,YES,YES,BOTH
"玄関","げんかん","entry hall",YES,YES,YES,BOTH
"元気","げんき","health, vitality",YES,YES,YES,BOTH
"公園","こうえん","Park",YES,YES,YES,BOTH
"交差点","こうさてん","intersection",YES,YES,YES,BOTH
"紅茶","こうちゃ","black tea",YES,YES,YES,BOTH
"交番","こうばん","police box",YES,YES,YES,BOTH
"声","こえ","Voice",YES,YES,YES,BOTH
"","ここ","Here",YES,YES,YES,BOTH
"九日","ここのか","nine days, ninth day",YES,YES,YES,BOTH
"九つ","ここのつ","Nine",YES,YES,YES,BOTH
"答える","こたえる","to answer",YES,YES,YES,BOTH
"今年","ことし","this year",YES,YES,YES,BOTH
"言葉","ことば","word, language",YES,YES,YES,BOTH
"子供","こども","Child",YES,YES,YES,BOTH
"","この","This",YES,YES,YES,BOTH
"困る","こまる","to be worried",YES,YES,YES,BOTH
"","これ","This",YES,YES,YES,BOTH
"今月","こんげつ","this month",YES,YES,YES,BOTH
"今週","こんしゅう","this week",YES,YES,YES,BOTH
"","こんな","Such",YES,YES,YES,BOTH
"今晩","こんばん","this evening",YES,YES,YES,BOTH
"五","ご","Five",YES,YES,YES,BOTH
"午後","ごご","afternoon",YES,YES,YES,BOTH
"午前","ごぜん","morning",YES,YES,YES,BOTH
"御飯","ごはん","cooked rice, meal",YES,YES,YES,BOTH
"","さあ","well…",YES,YES,YES,BOTH
"財布","さいふ","Wallet",YES,YES,YES,BOTH
"魚","さかな","Fish",YES,YES,YES,BOTH
"先","さき","the future, previous",YES,YES,YES,BOTH
"咲く","さく","to bloom",YES,YES,YES,BOTH
"作文","さくぶん","composition, writing",YES,YES,YES,BOTH
"砂糖","さとう","Sugar",YES,YES,YES,BOTH
"寒い","さむい","Cold",YES,YES,YES,BOTH
"さ来年","さらいねん","year after next",YES,YES,YES,BOTH
"三","さん","Three",YES,YES,YES,BOTH
"散歩","さんぽする","to stroll",YES,YES,YES,BOTH
"雑誌","ざっし","Magazine",YES,YES,YES,BOTH
"四","し","/ よん Four",YES,YES,YES,BOTH
"塩","しお","Salt",YES,YES,YES,BOTH
"","しかし","However",YES,YES,YES,BOTH
"仕事","しごと","Job",YES,YES,YES,BOTH
"静か","しずか","Quiet",YES,YES,YES,BOTH
"下","した","Below",YES,YES,YES,BOTH
"七","しち","/ なな Seven",YES,YES,YES,BOTH
"質問","しつもん","Question",YES,YES,YES,BOTH
"死ぬ","しぬ","to die",YES,YES,YES,BOTH
"閉まる","しまる","to close, to be closed",YES,YES,YES,BOTH
"閉める","しめる","to close something",YES,YES,YES,BOTH
"締める","しめる","to tie",YES,YES,YES,BOTH
"写真","しゃしん","photograph",YES,YES,YES,BOTH
"宿題","しゅくだい","homework",YES,YES,YES,BOTH
"食堂","しょくどう","dining hall",YES,YES,YES,BOTH
"知る","しる","to know",YES,YES,YES,BOTH
"白","しろ","White",YES,YES,YES,BOTH
"白い","しろい","White",YES,YES,YES,BOTH
"新聞","しんぶん","newspaper",YES,YES,YES,BOTH
"時間","じかん","Time",YES,YES,YES,BOTH
"辞書","じしょ","Dictionary",YES,YES,YES,BOTH
"自転車","じてんしゃ","Bicycle",YES,YES,YES,BOTH
"自動車","じどうしゃ","Automobile",YES,YES,YES,BOTH
"字引","じびき","Dictionary",YES,YES,YES,BOTH
"自分","じぶん","Oneself",YES,YES,YES,BOTH
"十","じゅう","とお Ten",YES,YES,YES,BOTH
"授業","じゅぎょう","lesson, class work",YES,YES,YES,BOTH
"上手","じょうず","Skillful",YES,YES,YES,BOTH
"丈夫","じょうぶ","strong, durable",YES,YES,YES,BOTH
"水曜日","すいようび","Wednesday",YES,YES,YES,BOTH
"吸う","すう","to smoke, to suck",YES,YES,YES,BOTH
"好き","すき","Likeable",YES,YES,YES,BOTH
"少ない","すくない","a few",YES,YES,YES,BOTH
"","すぐに","Instantly",YES,YES,YES,BOTH
"少し","すこし","Few",YES,YES,YES,BOTH
"涼しい","すずしい","Refreshing",YES,YES,YES,BOTH
"住む","すむ","to live in",YES,YES,YES,BOTH
"座る","すわる","to sit",YES,YES,YES,BOTH
"背","せ","height, stature",YES,YES,YES,BOTH
"生徒","せいと","Pupil",YES,YES,YES,BOTH
"","せっけん","Economy",YES,YES,YES,BOTH
"背広","せびろ","business suit",YES,YES,YES,BOTH
"狭い","せまい","Narrow",YES,YES,YES,BOTH
"千","せん","Thousand",YES,YES,YES,BOTH
"先月","せんげつ","last month",YES,YES,YES,BOTH
"先週","せんしゅう","last week",YES,YES,YES,BOTH
"先生","せんせい","teacher, doctor",YES,YES,YES,BOTH
"洗濯","せんたく","Washing",YES,YES,YES,BOTH
"全部","ぜんぶ","All",YES,YES,YES,BOTH
"掃除","そうじする","to clean, to sweep",YES,YES,YES,BOTH
"外","そと","Outside",YES,YES,YES,BOTH
"","その","That",YES,YES,YES,BOTH
"空","そら","Sky",YES,YES,YES,BOTH
"","それ","that",YES,YES,YES,BOTH
"大使館","たいしかん","embassy",YES,YES,YES,BOTH
"大切","たいせつ","important",YES,YES,YES,BOTH
"","たいへん","very",YES,YES,YES,BOTH
"高い","たかい","tall, expensive",YES,YES,YES,BOTH
"","たくさん","many",YES,YES,YES,BOTH
"立つ","たつ","to stand",YES,YES,YES,BOTH
"","たて","length,height",YES,YES,YES,BOTH
"建物","たてもの","building",YES,YES,YES,BOTH
"楽しい","たのしい","enjoyable",YES,YES,YES,BOTH
"頼む","たのむ","to ask",YES,YES,YES,BOTH
"","たばこ","tobacco,cigarettes",YES,YES,YES,BOTH
"","たぶん","probably",YES,YES,YES,BOTH
"食べ物","たべもの","food",YES,YES,YES,BOTH
"食べる","たべる","to eat",YES,YES,YES,BOTH
"卵","たまご","egg",YES,YES,YES,BOTH
"誕生日","たんじょうび","birthday",YES,YES,YES,BOTH
"大学","だいがく","university",YES,YES,YES,BOTH
"大丈夫","だいじょうぶ","all right",YES,YES,YES,BOTH
"大好き","だいすき","to be very likeable",YES,YES,YES,BOTH
"台所","だいどころ","kitchen",YES,YES,YES,BOTH
"出す","だす","to put out",YES,YES,YES,BOTH
"誰","だれ","who",YES,YES,YES,BOTH
"","だんだん","gradually",YES,YES,YES,BOTH
"小さい","ちいさい","little",YES,YES,YES,BOTH
"小さな","ちいさな","little",YES,YES,YES,BOTH
"近い","ちかい","near",YES,YES,YES,BOTH
"近く","ちかく","near",YES,YES,YES,BOTH
"地下鉄","ちかてつ","underground train",YES,YES,YES,BOTH
"違う","ちがう","to differ",YES,YES,YES,BOTH
"地図","ちず","map",YES,YES,YES,BOTH
"茶色","ちゃいろ","brown",YES,YES,YES,BOTH
"","ちょうど","exactly",YES,YES,YES,BOTH
"","ちょっと","somewhat",YES,YES,YES,BOTH
"使う","つかう","to use",YES,YES,YES,BOTH
"疲れる","つかれる","to get tired",YES,YES,YES,BOTH
"次","つぎ","next",YES,YES,YES,BOTH
"着く","つく","to arrive at",YES,YES,YES,BOTH
"机","つくえ","desk",YES,YES,YES,BOTH
"作る","つくる","to make",YES,YES,YES,BOTH
"勤める","つとめる","to work for someone",YES,YES,YES,BOTH
"","つまらない","boring",YES,YES,YES,BOTH
"冷たい","つめたい","cold to the touch",YES,YES,YES,BOTH
"強い","つよい","powerful",YES,YES,YES,BOTH
"手","て","hand",YES,YES,YES,BOTH
"手紙","てがみ","letter",YES,YES,YES,BOTH
"天気","てんき","weather",YES,YES,YES,BOTH
"出かける","でかける","to go out",YES,YES,YES,BOTH
"出口","でぐち","exit",YES,YES,YES,BOTH
"","でも","but",YES,YES,YES,BOTH
"出る","でる","to appear,to leave",YES,YES,YES,BOTH
"電気","でんき","electricity,electric light",YES,YES,YES,BOTH
"電車","でんしゃ","electric train",YES,YES,YES,BOTH
"電話","でんわ","telephone",YES,YES,YES,BOTH
"戸","と","Japanese style door",YES,YES,YES,BOTH
"遠い","とおい","far",YES,YES,YES,BOTH
"十日","とおか","ten days,the tenth day",YES,YES,YES,BOTH
"時々","ときどき","sometimes",YES,YES,YES,BOTH
"時計","とけい","watch,clock",YES,YES,YES,BOTH
"所","ところ","place",YES,YES,YES,BOTH
"年","とし","year",YES,YES,YES,BOTH
"図書館","としょかん","library",YES,YES,YES,BOTH
"","とても","very",YES,YES,YES,BOTH
"隣","となり","next door to",YES,YES,YES,BOTH
"飛ぶ","とぶ","to fly,to hop",YES,YES,YES,BOTH
"止まる","とまる","to come to a halt",YES,YES,YES,BOTH
"友達","ともだち","friend",YES,YES,YES,BOTH
