Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
四つ	Yes	YES	YES	YES	Current+Complete+Tanos
四日	Yes	YES	YES	YES	Current+Complete+Tanos
困る	Yes	YES	YES	YES	Current+Complete+Tanos
図書館	Yes	YES	YES	YES	Current+Complete+Tanos
国	Yes	YES	YES	YES	Current+Complete+Tanos
土曜日	Yes	YES	YES	YES	Current+Complete+Tanos
地下鉄	Yes	YES	YES	YES	Current+Complete+Tanos
地図	Yes	YES	YES	YES	Current+Complete+Tanos
塩	Yes	YES	YES	YES	Current+Complete+Tanos
声	Yes	YES	YES	YES	Current+Complete+Tanos
売る	Yes	YES	YES	YES	Current+Complete+Tanos
夏	Yes	YES	YES	YES	Current+Complete+Tanos
夏休み	Yes	YES	YES	YES	Current+Complete+Tanos
夕方	Yes	YES	YES	YES	Current+Complete+Tanos
夕飯	Yes	YES	YES	YES	Current+Complete+Tanos
外	Yes	YES	YES	YES	Current+Complete+Tanos
外国	Yes	YES	YES	YES	Current+Complete+Tanos
外国人	Yes	YES	YES	YES	Current+Complete+Tanos
多い	Yes	YES	YES	YES	Current+Complete+Tanos
夜	Yes	YES	YES	YES	Current+Complete+Tanos
大きい	Yes	YES	YES	YES	Current+Complete+Tanos
大きな	Yes	YES	YES	YES	Current+Complete+Tanos
大丈夫	Yes	YES	YES	YES	Current+Complete+Tanos
大人	Yes	YES	YES	YES	Current+Complete+Tanos
大使館	Yes	YES	YES	YES	Current+Complete+Tanos
大切	Yes	YES	YES	YES	Current+Complete+Tanos
大勢	Yes	YES	YES	YES	Current+Complete+Tanos
大好き	Yes	YES	YES	YES	Current+Complete+Tanos
大学	Yes	YES	YES	YES	Current+Complete+Tanos
天気	Yes	YES	YES	YES	Current+Complete+Tanos
太い	Yes	YES	YES	YES	Current+Complete+Tanos
奥さん	Yes	YES	YES	YES	Current+Complete+Tanos
女	Yes	YES	YES	YES	Current+Complete+Tanos
女の子	Yes	YES	YES	YES	Current+Complete+Tanos
好き	Yes	YES	YES	YES	Current+Complete+Tanos
妹	Yes	YES	YES	YES	Current+Complete+Tanos
姉	Yes	YES	YES	YES	Current+Complete+Tanos
始まる	Yes	YES	YES	YES	Current+Complete+Tanos
嫌	Yes	YES	YES	YES	Current+Complete+Tanos
嫌い	Yes	YES	YES	YES	Current+Complete+Tanos
子供	Yes	YES	YES	YES	Current+Complete+Tanos
字引	Yes	YES	YES	YES	Current+Complete+Tanos
学校	Yes	YES	YES	YES	Current+Complete+Tanos
学生	Yes	YES	YES	YES	Current+Complete+Tanos
安い	Yes	YES	YES	YES	Current+Complete+Tanos
家	Yes	YES	YES	YES	Current+Complete+Tanos
家庭	Yes	YES	YES	YES	Current+Complete+Tanos
家族	Yes	YES	YES	YES	Current+Complete+Tanos
宿題	Yes	YES	YES	YES	Current+Complete+Tanos
寒い	Yes	YES	YES	YES	Current+Complete+Tanos
寝る	Yes	YES	YES	YES	Current+Complete+Tanos
封筒	Yes	YES	YES	YES	Current+Complete+Tanos
小さい	Yes	YES	YES	YES	Current+Complete+Tanos
小さな	Yes	YES	YES	YES	Current+Complete+Tanos
少し	Yes	YES	YES	YES	Current+Complete+Tanos
少ない	Yes	YES	YES	YES	Current+Complete+Tanos
居る	Yes	YES	YES	YES	Current+Complete+Tanos
山	Yes	YES	YES	YES	Current+Complete+Tanos
川/河	Yes	YES	YES	YES	Current+Complete+Tanos
左	Yes	YES	YES	YES	Current+Complete+Tanos
差す	Yes	YES	YES	YES	Current+Complete+Tanos
帰る	Yes	YES	YES	YES	Current+Complete+Tanos
帽子	Yes	YES	YES	YES	Current+Complete+Tanos
年	Yes	YES	YES	YES	Current+Complete+Tanos
広い	Yes	YES	YES	YES	Current+Complete+Tanos
店	Yes	YES	YES	YES	Current+Complete+Tanos
座る	Yes	YES	YES	YES	Current+Complete+Tanos
庭	Yes	YES	YES	YES	Current+Complete+Tanos
廊下	Yes	YES	YES	YES	Current+Complete+Tanos
建物	Yes	YES	YES	YES	Current+Complete+Tanos
引く	Yes	YES	YES	YES	Current+Complete+Tanos
弟	Yes	YES	YES	YES	Current+Complete+Tanos
弱い	Yes	YES	YES	YES	Current+Complete+Tanos
強い	Yes	YES	YES	YES	Current+Complete+Tanos
弾く	Yes	YES	YES	YES	Current+Complete+Tanos
待つ	Yes	YES	YES	YES	Current+Complete+Tanos
後	Yes	YES	YES	YES	Current+Complete+Tanos
後ろ	Yes	YES	YES	YES	Current+Complete+Tanos
御飯	Yes	YES	YES	YES	Current+Complete+Tanos
忘れる	Yes	YES	YES	YES	Current+Complete+Tanos
忙しい	Yes	YES	YES	YES	Current+Complete+Tanos
悪い	Yes	YES	YES	YES	Current+Complete+Tanos
意味	Yes	YES	YES	YES	Current+Complete+Tanos
戸	Yes	YES	YES	YES	Current+Complete+Tanos
所	Yes	YES	YES	YES	Current+Complete+Tanos
手	Yes	YES	YES	YES	Current+Complete+Tanos
手紙	Yes	YES	YES	YES	Current+Complete+Tanos
押す	Yes	YES	YES	YES	Current+Complete+Tanos
持つ	Yes	YES	YES	YES	Current+Complete+Tanos
掃除	Yes	YES	YES	YES	Current+Complete+Tanos
授業	Yes	YES	YES	YES	Current+Complete+Tanos
撮る	Yes	YES	YES	YES	Current+Complete+Tanos
教える	Yes	YES	YES	YES	Current+Complete+Tanos
教室	Yes	YES	YES	YES	Current+Complete+Tanos
散歩	Yes	YES	YES	YES	Current+Complete+Tanos
文章	Yes	YES	YES	YES	Current+Complete+Tanos
料理	Yes	YES	YES	YES	Current+Complete+Tanos
新しい	Yes	YES	YES	YES	Current+Complete+Tanos
新聞	Yes	YES	YES	YES	Current+Complete+Tanos
方	Yes	YES	YES	YES	Current+Complete+Tanos
旅行	Yes	YES	YES	YES	Current+Complete+Tanos
日曜日	Yes	YES	YES	YES	Current+Complete+Tanos
早い	Yes	YES	YES	YES	Current+Complete+Tanos
明い	Yes	YES	YES	YES	Current+Complete+Tanos
明日	Yes	YES	YES	YES	Current+Complete+Tanos
易しい	Yes	YES	YES	YES	Current+Complete+Tanos
映画	Yes	YES	YES	YES	Current+Complete+Tanos
映画館	Yes	YES	YES	YES	Current+Complete+Tanos
春	Yes	YES	YES	YES	Current+Complete+Tanos
昨夜	Yes	YES	YES	YES	Current+Complete+Tanos
昨日	Yes	YES	YES	YES	Current+Complete+Tanos
昼	Yes	YES	YES	YES	Current+Complete+Tanos
昼御飯	Yes	YES	YES	YES	Current+Complete+Tanos
時々	Yes	YES	YES	YES	Current+Complete+Tanos
時計	Yes	YES	YES	YES	Current+Complete+Tanos
時間	Yes	YES	YES	YES	Current+Complete+Tanos
晩	Yes	YES	YES	YES	Current+Complete+Tanos
晩御飯	Yes	YES	YES	YES	Current+Complete+Tanos
晴れ	Yes	YES	YES	YES	Current+Complete+Tanos
晴れる	Yes	YES	YES	YES	Current+Complete+Tanos
暇	Yes	YES	YES	YES	Current+Complete+Tanos
暑い	Yes	YES	YES	YES	Current+Complete+Tanos
暖かい	Yes	YES	YES	YES	Current+Complete+Tanos
暗い	Yes	YES	YES	YES	Current+Complete+Tanos
曇り	Yes	YES	YES	YES	Current+Complete+Tanos
曇る	Yes	YES	YES	YES	Current+Complete+Tanos
曲る	Yes	YES	YES	YES	Current+Complete+Tanos
書く	Yes	YES	YES	YES	Current+Complete+Tanos
月曜日	Yes	YES	YES	YES	Current+Complete+Tanos
有名	Yes	YES	YES	YES	Current+Complete+Tanos
服	Yes	YES	YES	YES	Current+Complete+Tanos
朝	Yes	YES	YES	YES	Current+Complete+Tanos
朝御飯	Yes	YES	YES	YES	Current+Complete+Tanos
木	Yes	YES	YES	YES	Current+Complete+Tanos
木曜日	Yes	YES	YES	YES	Current+Complete+Tanos
本	Yes	YES	YES	YES	Current+Complete+Tanos
本棚	Yes	YES	YES	YES	Current+Complete+Tanos
机	Yes	YES	YES	YES	Current+Complete+Tanos
村	Yes	YES	YES	YES	Current+Complete+Tanos
来る	Yes	YES	YES	YES	Current+Complete+Tanos
来年	Yes	YES	YES	YES	Current+Complete+Tanos
来月	Yes	YES	YES	YES	Current+Complete+Tanos
来週	Yes	YES	YES	YES	Current+Complete+Tanos
東	Yes	YES	YES	YES	Current+Complete+Tanos
果物	Yes	YES	YES	YES	Current+Complete+Tanos
楽しい	Yes	YES	YES	YES	Current+Complete+Tanos
横	Yes	YES	YES	YES	Current+Complete+Tanos
橋	Yes	YES	YES	YES	Current+Complete+Tanos
次	Yes	YES	YES	YES	Current+Complete+Tanos
欲しい	Yes	YES	YES	YES	Current+Complete+Tanos
歌	Yes	YES	YES	YES	Current+Complete+Tanos
歌う	Yes	YES	YES	YES	Current+Complete+Tanos
止まる	Yes	YES	YES	YES	Current+Complete+Tanos
歩く	Yes	YES	YES	YES	Current+Complete+Tanos
歯	Yes	YES	YES	YES	Current+Complete+Tanos
死ぬ	Yes	YES	YES	YES	Current+Complete+Tanos
毎年	Yes	YES	YES	NO	Current+Complete
毎日	Yes	YES	YES	YES	Current+Complete+Tanos
毎晩	Yes	YES	YES	YES	Current+Complete+Tanos
毎月	Yes	YES	YES	NO	Current+Complete
毎朝	Yes	YES	YES	YES	Current+Complete+Tanos
毎週	Yes	YES	YES	YES	Current+Complete+Tanos
水	Yes	YES	YES	YES	Current+Complete+Tanos
水曜日	Yes	YES	YES	YES	Current+Complete+Tanos
汚い	Yes	YES	YES	YES	Current+Complete+Tanos
池	Yes	YES	YES	YES	Current+Complete+Tanos
泳ぐ	Yes	YES	YES	YES	Current+Complete+Tanos
洋服	Yes	YES	YES	YES	Current+Complete+Tanos
洗う	Yes	YES	YES	YES	Current+Complete+Tanos
洗濯	Yes	YES	YES	YES	Current+Complete+Tanos
海	Yes	YES	YES	YES	Current+Complete+Tanos
消える	Yes	YES	YES	YES	Current+Complete+Tanos
消す	Yes	YES	YES	YES	Current+Complete+Tanos
涼しい	Yes	YES	YES	YES	Current+Complete+Tanos
渡す	Yes	YES	YES	YES	Current+Complete+Tanos
渡る	Yes	YES	YES	YES	Current+Complete+Tanos
温い	Yes	YES	YES	YES	Current+Complete+Tanos
漢字	Yes	YES	YES	YES	Current+Complete+Tanos
火曜日	Yes	YES	YES	YES	Current+Complete+Tanos
灰皿	Yes	YES	YES	YES	Current+Complete+Tanos
無くす	Yes	YES	YES	YES	Current+Complete+Tanos
煩い	Yes	YES	YES	YES	Current+Complete+Tanos
熱い	Yes	YES	YES	YES	Current+Complete+Tanos
牛乳	Yes	YES	YES	YES	Current+Complete+Tanos
牛肉	Yes	YES	YES	YES	Current+Complete+Tanos
物	Yes	YES	YES	YES	Current+Complete+Tanos
犬	Yes	YES	YES	YES	Current+Complete+Tanos
狭い	Yes	YES	YES	YES	Current+Complete+Tanos
猫	Yes	YES	YES	YES	Current+Complete+Tanos
玄関	Yes	YES	YES	YES	Current+Complete+Tanos
甘い	Yes	YES	YES	YES	Current+Complete+Tanos
生まれる	Yes	YES	YES	YES	Current+Complete+Tanos
生徒	Yes	YES	YES	YES	Current+Complete+Tanos
男	Yes	YES	YES	YES	Current+Complete+Tanos
男の子	Yes	YES	YES	YES	Current+Complete+Tanos
町	Yes	YES	YES	YES	Current+Complete+Tanos
留学生	Yes	YES	YES	YES	Current+Complete+Tanos
番号	Yes	YES	YES	YES	Current+Complete+Tanos
疲れる	Yes	YES	YES	YES	Current+Complete+Tanos
病気	Yes	YES	YES	YES	Current+Complete+Tanos
病院	Yes	YES	YES	YES	Current+Complete+Tanos
痛い	Yes	YES	YES	YES	Current+Complete+Tanos
登る	Yes	YES	YES	YES	Current+Complete+Tanos
白	Yes	YES	YES	YES	Current+Complete+Tanos
白い	Yes	YES	YES	YES	Current+Complete+Tanos
百	Yes	YES	YES	YES	Current+Complete+Tanos
皆さん	Yes	YES	YES	YES	Current+Complete+Tanos
目	Yes	YES	YES	YES	Current+Complete+Tanos
眼鏡	Yes	YES	YES	YES	Current+Complete+Tanos
着く	Yes	YES	YES	YES	Current+Complete+Tanos
着る	Yes	YES	YES	YES	Current+Complete+Tanos
知る	Yes	YES	YES	YES	Current+Complete+Tanos
短い	Yes	YES	YES	YES	Current+Complete+Tanos
砂糖	Yes	YES	YES	YES	Current+Complete+Tanos
磨く	Yes	YES	YES	YES	Current+Complete+Tanos
私	Yes	YES	YES	YES	Current+Complete+Tanos
秋	Yes	YES	YES	YES	Current+Complete+Tanos
空	Yes	YES	YES	YES	Current+Complete+Tanos
窓	Yes	YES	YES	YES	Current+Complete+Tanos
立つ	Yes	YES	YES	YES	Current+Complete+Tanos
答える	Yes	YES	YES	YES	Current+Complete+Tanos
箱	Yes	YES	YES	YES	Current+Complete+Tanos
紅茶	Yes	YES	YES	YES	Current+Complete+Tanos
紙	Yes	YES	YES	YES	Current+Complete+Tanos
細い	Yes	YES	YES	YES	Current+Complete+Tanos
終る	Yes	YES	YES	YES	Current+Complete+Tanos
結婚	Yes	YES	YES	YES	Current+Complete+Tanos
結構	Yes	YES	YES	YES	Current+Complete+Tanos
絵	Yes	YES	YES	YES	Current+Complete+Tanos
緑	Yes	YES	YES	YES	Current+Complete+Tanos
締める	Yes	YES	YES	YES	Current+Complete+Tanos
練習	Yes	YES	YES	YES	Current+Complete+Tanos
置く	Yes	YES	YES	YES	Current+Complete+Tanos
習う	Yes	YES	YES	YES	Current+Complete+Tanos
耳	Yes	YES	YES	YES	Current+Complete+Tanos
聞く	Yes	YES	YES	YES	Current+Complete+Tanos
肉	Yes	YES	YES	YES	Current+Complete+Tanos
背	Yes	YES	YES	YES	Current+Complete+Tanos
背広	Yes	YES	YES	YES	Current+Complete+Tanos
脱ぐ	Yes	YES	YES	YES	Current+Complete+Tanos
自分	Yes	YES	YES	YES	Current+Complete+Tanos
自動車	Yes	YES	YES	YES	Current+Complete+Tanos
自転車	Yes	YES	YES	YES	Current+Complete+Tanos
色	Yes	YES	YES	YES	Current+Complete+Tanos
花	Yes	YES	YES	YES	Current+Complete+Tanos
花瓶	Yes	YES	YES	YES	Current+Complete+Tanos
若い	Yes	YES	YES	YES	Current+Complete+Tanos
英語	Yes	YES	YES	YES	Current+Complete+Tanos
茶色	Yes	YES	YES	YES	Current+Complete+Tanos
荷物	Yes	YES	YES	YES	Current+Complete+Tanos
葉書	Yes	YES	YES	YES	Current+Complete+Tanos
薄い	Yes	YES	YES	YES	Current+Complete+Tanos
薬	Yes	YES	YES	YES	Current+Complete+Tanos
行く	Yes	YES	YES	YES	Current+Complete+Tanos
西	Yes	YES	YES	YES	Current+Complete+Tanos
要る	Yes	YES	YES	YES	Current+Complete+Tanos
見せる	Yes	YES	YES	YES	Current+Complete+Tanos
見る観る	Yes	YES	YES	NO	Current+Complete
覚える	Yes	YES	YES	YES	Current+Complete+Tanos
角	Yes	YES	YES	YES	Current+Complete+Tanos
言う	Yes	YES	YES	YES	Current+Complete+Tanos
言葉	Yes	YES	YES	YES	Current+Complete+Tanos
話	Yes	YES	YES	YES	Current+Complete+Tanos
話す	Yes	YES	YES	YES	Current+Complete+Tanos
誕生日	Yes	YES	YES	YES	Current+Complete+Tanos
読む	Yes	YES	YES	YES	Current+Complete+Tanos
誰	Yes	YES	YES	YES	Current+Complete+Tanos
警官	Yes	YES	YES	YES	Current+Complete+Tanos
豚肉	Yes	YES	YES	YES	Current+Complete+Tanos
財布	Yes	YES	YES	YES	Current+Complete+Tanos
買い物	Yes	YES	YES	YES	Current+Complete+Tanos
買う	Yes	YES	YES	YES	Current+Complete+Tanos
貸す	Yes	YES	YES	YES	Current+Complete+Tanos
貼る	Yes	YES	YES	YES	Current+Complete+Tanos
賑やか	Yes	YES	YES	YES	Current+Complete+Tanos
質問	Yes	YES	YES	YES	Current+Complete+Tanos
赤	Yes	YES	YES	YES	Current+Complete+Tanos
赤い	Yes	YES	YES	YES	Current+Complete+Tanos
走る	Yes	YES	YES	YES	Current+Complete+Tanos
起きる	Yes	YES	YES	YES	Current+Complete+Tanos
足	Yes	YES	YES	YES	Current+Complete+Tanos
車	Yes	YES	YES	YES	Current+Complete+Tanos
軽い	Yes	YES	YES	YES	Current+Complete+Tanos
辛い	Yes	YES	YES	YES	Current+Complete+Tanos
辞書	Yes	YES	YES	YES	Current+Complete+Tanos
辺	Yes	YES	YES	YES	Current+Complete+Tanos
近い	Yes	YES	YES	YES	Current+Complete+Tanos
近く	Yes	YES	YES	YES	Current+Complete+Tanos
返す	Yes	YES	YES	YES	Current+Complete+Tanos
速い	Yes	YES	YES	YES	Current+Complete+Tanos
遅い	Yes	YES	YES	YES	Current+Complete+Tanos
遊ぶ	Yes	YES	YES	YES	Current+Complete+Tanos
道	Yes	YES	YES	YES	Current+Complete+Tanos
違う	Yes	YES	YES	YES	Current+Complete+Tanos
遠い	Yes	YES	YES	YES	Current+Complete+Tanos
部屋	Yes	YES	YES	YES	Current+Complete+Tanos
郵便局	Yes	YES	YES	YES	Current+Complete+Tanos
重い	Yes	YES	YES	YES	Current+Complete+Tanos
野菜	Yes	YES	YES	YES	Current+Complete+Tanos
金曜日	Yes	YES	YES	YES	Current+Complete+Tanos
鉛筆	Yes	YES	YES	YES	Current+Complete+Tanos
銀行	Yes	YES	YES	YES	Current+Complete+Tanos
長い	Yes	YES	YES	YES	Current+Complete+Tanos
門	Yes	YES	YES	YES	Current+Complete+Tanos
閉まる	Yes	YES	YES	YES	Current+Complete+Tanos
閉める	Yes	YES	YES	YES	Current+Complete+Tanos
開く	Yes	YES	YES	YES	Current+Complete+Tanos
開ける	Yes	YES	YES	YES	Current+Complete+Tanos
降りる	Yes	YES	YES	YES	Current+Complete+Tanos
降る	Yes	YES	YES	YES	Current+Complete+Tanos
階段	Yes	YES	YES	YES	Current+Complete+Tanos
隣	Yes	YES	YES	YES	Current+Complete+Tanos
雑誌	Yes	YES	YES	YES	Current+Complete+Tanos
難しい	Yes	YES	YES	YES	Current+Complete+Tanos
雨	Yes	YES	YES	YES	Current+Complete+Tanos
雪	Yes	YES	YES	YES	Current+Complete+Tanos
零	Yes	YES	YES	YES	Current+Complete+Tanos
電気	Yes	YES	YES	YES	Current+Complete+Tanos
電話	Yes	YES	YES	YES	Current+Complete+Tanos
電車	Yes	YES	YES	YES	Current+Complete+Tanos
青	Yes	YES	YES	YES	Current+Complete+Tanos
青い	Yes	YES	YES	YES	Current+Complete+Tanos
静か	Yes	YES	YES	YES	Current+Complete+Tanos
靴	Yes	YES	YES	YES	Current+Complete+Tanos
靴下	Yes	YES	YES	YES	Current+Complete+Tanos
音楽	Yes	YES	YES	YES	Current+Complete+Tanos
頭	Yes	YES	YES	YES	Current+Complete+Tanos
頼む	Yes	YES	YES	YES	Current+Complete+Tanos
風	Yes	YES	YES	YES	Current+Complete+Tanos
風邪	Yes	YES	YES	YES	Current+Complete+Tanos
飛ぶ	Yes	YES	YES	YES	Current+Complete+Tanos
飛行機	Yes	YES	YES	YES	Current+Complete+Tanos
食べる	Yes	YES	YES	YES	Current+Complete+Tanos
食べ物	Yes	YES	YES	YES	Current+Complete+Tanos
食堂	Yes	YES	YES	YES	Current+Complete+Tanos
飲み物	Yes	YES	YES	YES	Current+Complete+Tanos
飲む	Yes	YES	YES	YES	Current+Complete+Tanos
飴	Yes	YES	YES	YES	Current+Complete+Tanos
駅	Yes	YES	YES	YES	Current+Complete+Tanos
高い	Yes	YES	YES	YES	Current+Complete+Tanos
魚	Yes	YES	YES	YES	Current+Complete+Tanos
鳥	Yes	YES	YES	YES	Current+Complete+Tanos
鳴く	Yes	YES	YES	YES	Current+Complete+Tanos
黄色	Yes	YES	YES	YES	Current+Complete+Tanos
黄色い	Yes	YES	YES	YES	Current+Complete+Tanos
黒	Yes	YES	YES	YES	Current+Complete+Tanos
黒い	Yes	YES	YES	YES	Current+Complete+Tanos
鼻	Yes	YES	YES	YES	Current+Complete+Tanos
