Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
かえす	No	YES	YES	YES	Current+Complete+Tanos
かえります	No	NO	YES	NO	Complete
かえる	No	YES	YES	YES	Current+Complete+Tanos
かお	No	NO	YES	NO	Complete
かかります	No	NO	YES	NO	Complete
かかる	No	YES	YES	YES	Current+Complete+Tanos
かかん	No	NO	YES	NO	Complete
かきます	No	NO	YES	NO	Complete
かぎ	No	YES	YES	YES	Current+Complete+Tanos
かく	No	YES	YES	YES	Current+Complete+Tanos
かけます	No	NO	YES	NO	Complete
かける	No	YES	YES	YES	Current+Complete+Tanos
かげつ	No	NO	YES	NO	Complete
かさ	No	YES	YES	YES	Current+Complete+Tanos
かします	No	NO	YES	NO	Complete
かす	No	YES	YES	YES	Current+Complete+Tanos
かぜ	No	YES	YES	YES	Current+Complete+Tanos
かぞく	No	YES	YES	YES	Current+Complete+Tanos
かた	No	YES	YES	YES	Current+Complete+Tanos
かてい	No	YES	YES	YES	Current+Complete+Tanos
かど	No	YES	YES	YES	Current+Complete+Tanos
かない	No	NO	YES	NO	Complete
かばん	No	YES	YES	YES	Current+Complete+Tanos
かびん	No	YES	YES	YES	Current+Complete+Tanos
かぶります	No	NO	YES	NO	Complete
かみ	No	YES	YES	YES	Current+Complete+Tanos
かようび	No	YES	YES	YES	Current+Complete+Tanos
からい	No	YES	YES	YES	Current+Complete+Tanos
からだ	No	YES	YES	YES	Current+Complete+Tanos
かります	No	NO	YES	NO	Complete
かりる	No	YES	YES	YES	Current+Complete+Tanos
かるい	No	YES	YES	YES	Current+Complete+Tanos
かわ	No	YES	YES	YES	Current+Complete+Tanos
かわいい	No	YES	YES	YES	Current+Complete+Tanos
かんがえます	No	NO	YES	NO	Complete
かんじ	No	YES	YES	YES	Current+Complete+Tanos
かんたん	No	NO	YES	NO	Complete
がいこく	No	YES	YES	YES	Current+Complete+Tanos
がいこくじん	No	YES	YES	YES	Current+Complete+Tanos
がくせい	No	YES	YES	YES	Current+Complete+Tanos
がっこう	No	YES	YES	YES	Current+Complete+Tanos
がつ	No	NO	YES	NO	Complete
がります	No	NO	YES	NO	Complete
がわ	No	NO	YES	NO	Complete
き	No	YES	YES	YES	Current+Complete+Tanos
きいろ	No	YES	YES	YES	Current+Complete+Tanos
きいろい	No	YES	YES	YES	Current+Complete+Tanos
きえます	No	NO	YES	NO	Complete
きえる	No	YES	YES	YES	Current+Complete+Tanos
ききます	No	NO	YES	NO	Complete
きく	No	YES	YES	YES	Current+Complete+Tanos
きた	No	YES	YES	YES	Current+Complete+Tanos
きたない	No	YES	YES	YES	Current+Complete+Tanos
きっさてん	No	YES	YES	YES	Current+Complete+Tanos
きって	No	YES	YES	YES	Current+Complete+Tanos
きっぷ	No	YES	YES	YES	Current+Complete+Tanos
きのう	No	YES	YES	YES	Current+Complete+Tanos
きます	No	NO	YES	NO	Complete
きゅう	No	NO	YES	YES	Complete+Tanos
きゅう/く	No	YES	YES	NO	Current+Complete
きょう	No	YES	YES	YES	Current+Complete+Tanos
きょうしつ	No	YES	YES	YES	Current+Complete+Tanos
きょうだい	No	YES	YES	YES	Current+Complete+Tanos
きょうと	No	NO	YES	NO	Complete
きょねん	No	YES	YES	YES	Current+Complete+Tanos
きらい	No	YES	YES	YES	Current+Complete+Tanos
きります	No	NO	YES	NO	Complete
きる	No	YES	YES	YES	Current+Complete+Tanos
きれい	No	YES	YES	YES	Current+Complete+Tanos
きん	No	NO	YES	NO	Complete
きんようび	No	YES	YES	YES	Current+Complete+Tanos
ぎゅうにく	No	YES	YES	YES	Current+Complete+Tanos
ぎゅうにゅう	No	YES	YES	YES	Current+Complete+Tanos
ぎんこう	No	YES	YES	YES	Current+Complete+Tanos
く	No	NO	YES	NO	Complete
くすり	No	YES	YES	YES	Current+Complete+Tanos
ください	No	YES	YES	YES	Current+Complete+Tanos
くだもの	No	YES	YES	YES	Current+Complete+Tanos
くち	No	YES	YES	YES	Current+Complete+Tanos
くつ	No	YES	YES	YES	Current+Complete+Tanos
くつした	No	YES	YES	YES	Current+Complete+Tanos
くに	No	YES	YES	YES	Current+Complete+Tanos
くもり	No	YES	YES	YES	Current+Complete+Tanos
くもる	No	YES	YES	YES	Current+Complete+Tanos
くらい	No	YES	YES	YES	Current+Complete+Tanos
くる	No	YES	YES	YES	Current+Complete+Tanos
くるま	No	YES	YES	YES	Current+Complete+Tanos
くろ	No	YES	YES	YES	Current+Complete+Tanos
くろい	No	YES	YES	YES	Current+Complete+Tanos
くろく	No	NO	YES	NO	Complete
けいかん	No	YES	YES	YES	Current+Complete+Tanos
けさ	No	YES	YES	YES	Current+Complete+Tanos
けします	No	NO	YES	NO	Complete
けしゴム	No	NO	YES	NO	Complete
けす	No	YES	YES	YES	Current+Complete+Tanos
けっこう	No	YES	YES	YES	Current+Complete+Tanos
けっこん	No	YES	YES	YES	Current+Complete+Tanos
けっこんします	No	NO	YES	NO	Complete
げつ	No	NO	YES	NO	Complete
げつようび	No	YES	YES	YES	Current+Complete+Tanos
げんかん	No	YES	YES	YES	Current+Complete+Tanos
げんき	No	YES	YES	YES	Current+Complete+Tanos
こ	No	NO	YES	NO	Complete
こうえん	No	YES	YES	YES	Current+Complete+Tanos
こうさてん	No	YES	YES	YES	Current+Complete+Tanos
こうちゃ	No	YES	YES	YES	Current+Complete+Tanos
こうばん	No	YES	YES	YES	Current+Complete+Tanos
こえ	No	YES	YES	YES	Current+Complete+Tanos
ここ	No	YES	YES	YES	Current+Complete+Tanos
ここのか	No	YES	YES	YES	Current+Complete+Tanos
ここのつ	No	YES	YES	YES	Current+Complete+Tanos
こたえ	No	NO	YES	NO	Complete
こたえかた	No	NO	YES	NO	Complete
こたえます	No	NO	YES	NO	Complete
こたえる	No	YES	YES	YES	Current+Complete+Tanos
こちら	No	YES	YES	YES	Current+Complete+Tanos
こちらこそ	No	NO	YES	NO	Complete
