Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"交差点","こうさてん","intersection",YES,YES,YES,ALL
"紅茶","こうちゃ","black tea",YES,YES,YES,ALL
"交番","こうばん","police box",YES,YES,YES,ALL
"声","こえ","Voice",YES,YES,YES,ALL
"(none)","コート","coat, tennis court",YES,YES,YES,ALL
"(none)","コーヒー","Coffee",YES,YES,YES,ALL
"(none)","ここ","Here",YES,YES,YES,ALL
"午後","ごご","afternoon",YES,YES,YES,ALL
"九日","ここのか","nine days, ninth day",YES,YES,YES,ALL
"九つ","ここのつ","Nine",YES,YES,YES,ALL
"午前","ごぜん","morning",YES,YES,YES,ALL
"答える","こたえる","to answer",YES,YES,YES,ALL
"(none)","こちら","this person or way",YES,YES,YES,ALL
"(none)","こっち","this person or way",YES,YES,YES,ALL
"(none)","コップ","a glass",YES,YES,YES,ALL
"今年","ことし","this year",YES,YES,YES,ALL
"言葉","ことば","word, language",YES,YES,YES,ALL
"子供","こども","Child",YES,YES,YES,ALL
"(none)","この","This",YES,YES,YES,ALL
"御飯","ごはん","cooked rice, meal",YES,YES,YES,ALL
"(none)","コピーする","to copy",YES,YES,YES,ALL
"困る","こまる","to be worried",YES,YES,YES,ALL
"(none)","これ","This",YES,YES,YES,ALL
"今月","こんげつ","this month",YES,YES,YES,ALL
"今週","こんしゅう","this week",YES,YES,YES,ALL
"(none)","こんな","Such",YES,YES,YES,ALL
"今晩","こんばん","this evening",YES,YES,YES,ALL
"(none)","さあ","well…",YES,YES,YES,ALL
"財布","さいふ","Wallet",YES,YES,YES,ALL
"魚","さかな","Fish",YES,YES,YES,ALL
"先","さき","the future, previous",YES,YES,YES,ALL
"咲く","さく","to bloom",YES,YES,YES,ALL
"作文","さくぶん","composition, writing",YES,YES,YES,ALL
"差す","さす","",YES,YES,YES,ALL
"雑誌","ざっし","Magazine",YES,YES,YES,ALL
"砂糖","さとう","Sugar",YES,YES,YES,ALL
"寒い","さむい","Cold",YES,YES,YES,ALL
"さ来年","さらいねん","year after next",YES,YES,YES,ALL
"三","さん","Three",YES,YES,YES,ALL
"散歩","さんぽする","to stroll",YES,YES,YES,ALL
"四","し","/ よん Four",YES,YES,YES,ALL
"塩","しお","Salt",YES,YES,YES,ALL
"(none)","しかし","However",YES,YES,YES,ALL
"時間","じかん","Time",YES,YES,YES,ALL
"仕事","しごと","Job",YES,YES,YES,ALL
"辞書","じしょ","Dictionary",YES,YES,YES,ALL
"静か","しずか","Quiet",YES,YES,YES,ALL
"下","した","Below",YES,YES,YES,ALL
"七","しち","/ なな Seven",YES,YES,YES,ALL
"質問","しつもん","Question",YES,YES,YES,ALL
"自転車","じてんしゃ","Bicycle",YES,YES,YES,ALL
"自動車","じどうしゃ","Automobile",YES,YES,YES,ALL
"死ぬ","しぬ","to die",YES,YES,YES,ALL
"字引","じびき","Dictionary",YES,YES,YES,ALL
"自分","じぶん","Oneself",YES,YES,YES,ALL
"閉まる","しまる","to close, to be closed",YES,YES,YES,ALL
"閉める","しめる","to close something",YES,YES,YES,ALL
"締める","しめる","to tie",YES,YES,YES,ALL
"写真","しゃしん","photograph",YES,YES,YES,ALL
"(none)","シャツ","Shirt",YES,YES,YES,ALL
"(none)","シャワー","Shower",YES,YES,YES,ALL
"十","じゅう","とお Ten",YES,YES,YES,ALL
"授業","じゅぎょう","lesson, class work",YES,YES,YES,ALL
