========================================================================================================================
ALL 271 VERBS - COMPLETE TABLE
========================================================================================================================

No.    Image Label                    Kanji                Kana                 Meaning
241    TO DYE (HAIR)                  染める                  そめる                  to dye (hair)
242    TO SHAVE                       剃る                   そる                   to shave
243    TO RINSE                       すすぐ                  すすぐ                  to rinse
244    TO BEAT                        叩く                   たたく                  to beat
245    TO FALL OVER                   倒れる                  たおれる                 to fall over
246    TO DRIP                        垂らす                  たらす                  to drip
247    TO GET STUCK                   詰まる                  つまる                  to get stuck
248    TO FLY                         飛ぶ                   とぶ                   to fly
249    TO MELT                        溶ける                  とける                  to melt
250    TO COMB (HAIR)                 梳かす                  とかす                  to comb (hair)





251    TO FLOW                        流れる                  ながれる                 to flow
252    TO LINE UP                     並ぶ                   ならぶ                  to line up
253    TO BOIL                        煮る                   にる                   to boil
254    TO SEW                         縫う                   ぬう                   to sew
255    TO APPLY (MEDICINE)            塗る                   ぬる                   to apply (medicine)
256    TO SWALLOW                     飲み込む                 のみこむ                 to swallow
257    TO SPIT OUT                    吐き出す                 はきだす                 to spit out
258    TO PEEL                        剥く                   むく                   to peel
259    TO TIE (HAIR)                  結ぶ                   むすぶ                  to tie (hair)
260    TO STEAM                       蒸す                   むす                   to steam
261    TO MASSAGE                     揉む                   もむ                   to massage
262    TO TEAR                        破れる                  やぶれる                 to tear
263    TO SHAKE                       揺れる                  ゆれる                  to shake
264    TO RESOUND                     響く                   ひびく                  to resound
265    TO SHINE                       光る                   ひかる                  to shine
266    TO SCRATCH                     引っ掻く                 ひっかく                 to scratch
267    TO GRIND                       挽く                   ひく                   to grind
268    TO BANDAGE                     包帯を巻く                ほうたいをまく              to bandage
269    TO BURN                        燃える                  もえる                  to burn
270    TO DISAPPEAR                   消える                  きえる                  to disappear
271    TO RUB                         擦る                   こする                  to rub

------------------------------------------------------------------------------------------------------------------------
Total: 271 verbs
========================================================================================================================

COLUMN EXPLANATION:
- No.          : Verb number (1-271)
- Image Label  : Exact text label shown at bottom of generated image (from THREAD prompts)
- Kanji        : Japanese kanji form of the verb
- Kana         : Japanese kana reading (hiragana)
- Meaning      : English meaning/definition from dataset
